member_casual,rideable_type,day_of_week,number_of_rides,average_duration
casual,classic_bike,Sunday,121774,1948.0023062640628
casual,classic_bike,Monday,76183,1759.1914136487144
casual,classic_bike,Tuesday,69323,1604.1186354745178
casual,classic_bike,Wednesday,66479,1500.8321907369245
casual,classic_bike,Thursday,78595,1605.6853049939564
casual,classic_bike,Friday,98844,1752.3395354396828
casual,classic_bike,Saturday,146885,1901.726207802022
casual,electric_bike,Sunday,106724,1059.0821381882238
casual,electric_bike,Monday,81336,895.0138195755877
casual,electric_bike,Tuesday,80662,783.1065148273041
casual,electric_bike,Wednesday,81494,764.869010565195
casual,electric_bike,Thursday,94150,811.5145894317578
casual,electric_bike,Friday,111232,903.5623113312715
casual,electric_bike,Saturday,128256,1039.095277094249
member,classic_bike,Sunday,142086,916.9914838196585
member,classic_bike,Monday,187683,813.9000718072493
member,classic_bike,Tuesday,204432,811.4458523959067
member,classic_bike,Wednesday,198730,799.5313485029941
member,classic_bike,Thursday,203236,801.4669634956406
member,classic_bike,Friday,180427,833.316669046207
member,classic_bike,Saturday,155704,912.1959964226994
member,electric_bike,Sunday,114816,720.0842938092252
member,electric_bike,Monday,168359,627.6295528067998
member,electric_bike,Tuesday,191291,627.7905588135354
member,electric_bike,Wednesday,191387,627.1945242153333
member,electric_bike,Thursday,196053,635.560069190474
member,electric_bike,Friday,174909,651.9681510156711
member,electric_bike,Saturday,131733,722.9153283459725
