,member_casual,day_of_week,number_of_rides,average_duration
0,casual,Sunday,228498,1532.81654526079
1,casual,Monday,157519,1312.9674737333276
2,casual,Tuesday,149985,1162.5779502350235
3,casual,Wednesday,147973,1095.511061849121
4,casual,Thursday,172745,1172.8439905120265
5,casual,Friday,210076,1302.925094037396
6,casual,Saturday,275141,1499.6138630447663
7,member,Sunday,256902,828.9886814738694
8,member,Monday,356042,725.819681548806
9,member,Tuesday,395723,722.6675787937522
10,member,Wednesday,390117,714.9848463255896
11,member,Thursday,399289,720.0058054141235
12,member,Friday,355336,744.0504873471868
13,member,Saturday,287437,825.4482560561096
